Confirmed,Death,Recovered,Full_Vac
29170215,529393,0,30686881
29228110,530963,0,31493040
29290581,532521,0,32102061
29352094,534065,0,32904161
29405125,535095,0,33863127
29443403,535679,0,35000159
29499944,536427,0,36929777
29553952,537607,0,37459269
29613232,538833,0,38335432
29673607,540479,0,39042345
29735258,541606,0,39989196
29790777,542345,0,40981464
29824599,542833,0,41934629
29876035,543554,0,43036818
29929723,544429,0,44141228
30016661,545939,0,44910946
30084207,547340,0,45533962
30161584,548491,0,46365515
30224426,549286,0,47419832
30267649,549811,0,48695172
30336922,550518,0,50141769
30398351,551402,0,51593564
30465116,552478,0,52614231
30544235,553555,0,53423486
30614122,554508,0,54607041
30677383,555258,0,56089614
30712516,555555,0,57984785
30789920,556061,0,59858146
30850594,556921,0,61416536
30925615,559514,0,62392065
31005509,560541,0,63016976
31088219,561432,0,64422618
31154906,562144,0,66203123
31201415,562449,0,68202458
31271490,562924,0,70692645
31349456,563757,0,72630892
31424859,564711,0,74066085
31499167,565615,0,75322283
31579238,566493,0,76681252
31631770,567193,0,78498290
31673891,567530,0,80609818
31741996,568030,0,82471151
31802945,568872,0,84263408
31865800,569732,0,85365180
31933078,570701,0,86223506
31995489,571478,0,87592646
32048984,572229,0,89245776
32081137,572522,0,91175995
32128705,573012,0,93078040
32179541,573666,0,94772329
32234691,574634,0,95888088
32292942,575510,0,96747454
32350861,576259,0,98044421
32396252,576974,0,99668945
32425655,577311,0,101407318
32476146,577814,0,103422555
32516869,578688,0,104774652
32561573,579483,0,105523520
32609130,580281,0,106168588
32657260,581040,0,107346533
32690935,581670,0,108926627
32712362,581919,0,110874920
32749160,582332,0,112626771
32782822,583019,0,114258244
32818648,583787,0,115530780
32856724,584553,0,116576359
32898984,585210,0,117647439
32927841,585708,0,118987308
32944716,585985,0,120258637
32973337,586383,0,121768268
33001126,587154,0,122999721
33030427,587830,0,123828224
33060633,588507,0,124455693
33088579,589122,0,125453423
33108377,589618,0,126605166
33121245,589815,0,127778250
33147060,590261,0,129006463
33169799,590894,0,130014175
33193775,591873,0,130615797
33221223,593235,0,131078608
33243082,593796,0,131850089
33255083,594127,0,132769894
33261817,594262,0,133532544
33267592,594415,0,134418748
33290532,595066,0,135087319
33307449,595625,0,135867425
33326529,596244,0,136155250
33343379,596775,0,136644618
33357285,597156,0,137455367
33362680,597327,0,138112702
33378176,597644,0,138969323
33391189,597985,0,139748661
33409836,598435,0,140441957
33424381,598866,0,140980110
33449080,599517,0,141583252
33457308,599808,0,142095530
33462085,599921,0,143119077
33474815,600098,0,143921222
33486120,600416,0,144919339
33498545,600792,0,145768367
33508938,601077,0,146456124
33529529,601675,0,147758585
33538049,601847,0,148459003
33541941,601935,0,149125164
33554275,602205,0,149667646
